data path:
['data/XJTU data\\2C_battery-1.csv', 'data/XJTU data\\2C_battery-2.csv', 'data/XJTU data\\2C_battery-3.csv', 'data/XJTU data\\2C_battery-5.csv', 'data/XJTU data\\2C_battery-6.csv', 'data/XJTU data\\2C_battery-7.csv']
data path:
['data/XJTU data\\2C_battery-4.csv', 'data/XJTU data\\2C_battery-8.csv']
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.201775
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:001, data loss:0.882582
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.032826
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:002, data loss:0.793887
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.017405
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:003, data loss:0.682731
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.012212
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:004, data loss:0.547180
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.007434
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:005, data loss:0.378530
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.006056
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:006, data loss:0.204813
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.003938
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:007, data loss:0.093945
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.002687
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:008, data loss:0.047382
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.002141
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:009, data loss:0.026315
2026-07-13 13:01 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.001777
2026-07-13 13:01 - function:valid - INFO - [Valid] epoch:010, data loss:0.015439
