data path:
['data/XJTU data\\R2.5_battery-1.csv', 'data/XJTU data\\R2.5_battery-2.csv', 'data/XJTU data\\R2.5_battery-3.csv', 'data/XJTU data\\R2.5_battery-5.csv', 'data/XJTU data\\R2.5_battery-6.csv', 'data/XJTU data\\R2.5_battery-7.csv']
data path:
['data/XJTU data\\R2.5_battery-4.csv', 'data/XJTU data\\R2.5_battery-8.csv']
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.441610
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:001, data loss:0.886999
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.046842
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:002, data loss:0.660666
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.021599
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:003, data loss:0.305589
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.014084
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:004, data loss:0.124590
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.009887
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:005, data loss:0.046598
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.012892
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:006, data loss:0.019510
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.005181
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:007, data loss:0.006782
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.003702
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:008, data loss:0.006587
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.003466
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:009, data loss:0.003414
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.002921
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:010, data loss:0.002951
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002410
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:011, data loss:0.002438
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002001
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:012, data loss:0.002019
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001516
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:013, data loss:0.001422
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001605
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:014, data loss:0.001889
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001443
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:015, data loss:0.001716
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001390
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:016, data loss:0.001470
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001537
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:017, data loss:0.001422
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001354
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:018, data loss:0.001052
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001486
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:019, data loss:0.001459
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001207
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:020, data loss:0.001403
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001573
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:021, data loss:0.001310
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001268
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:022, data loss:0.001680
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.001318
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:023, data loss:0.000898
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.001101
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:024, data loss:0.001427
2026-07-13 13:02 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.000937
2026-07-13 13:02 - function:valid - INFO - [Valid] epoch:025, data loss:0.000945
