data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.255917
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:001, data loss:0.481818
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.033174
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:002, data loss:0.291633
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.015911
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:003, data loss:0.130056
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.011770
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:004, data loss:0.048365
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.006717
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:005, data loss:0.020669
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.005165
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:006, data loss:0.006901
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.003079
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:007, data loss:0.005130
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.002540
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:008, data loss:0.003159
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.002103
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:009, data loss:0.003181
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.002123
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:010, data loss:0.002135
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.001644
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:011, data loss:0.001788
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.001607
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:012, data loss:0.001738
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001085
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:013, data loss:0.001298
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001315
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:014, data loss:0.001386
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001333
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:015, data loss:0.001728
