data path:
['data/XJTU data\\RW_battery-1.csv', 'data/XJTU data\\RW_battery-2.csv', 'data/XJTU data\\RW_battery-3.csv', 'data/XJTU data\\RW_battery-5.csv', 'data/XJTU data\\RW_battery-6.csv', 'data/XJTU data\\RW_battery-7.csv']
data path:
['data/XJTU data\\RW_battery-4.csv', 'data/XJTU data\\RW_battery-8.csv']
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.494297
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:001, data loss:0.769238
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.069740
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:002, data loss:0.770765
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.067659
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:003, data loss:0.676497
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.035011
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:004, data loss:0.578932
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.021875
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:005, data loss:0.492758
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.023854
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:006, data loss:0.408156
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.015448
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:007, data loss:0.322127
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.012127
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:008, data loss:0.246931
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.011161
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:009, data loss:0.190795
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.007107
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:010, data loss:0.153278
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.006503
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:011, data loss:0.126213
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.006013
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:012, data loss:0.098392
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.003991
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:013, data loss:0.068685
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.004200
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:014, data loss:0.047066
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.003654
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:015, data loss:0.035694
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.002961
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:016, data loss:0.028186
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.002547
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:017, data loss:0.020504
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.002051
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:018, data loss:0.012552
2026-07-13 13:03 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001925
2026-07-13 13:03 - function:valid - INFO - [Valid] epoch:019, data loss:0.008228
