data path:
['data/XJTU data\\2C_battery-1.csv', 'data/XJTU data\\2C_battery-2.csv', 'data/XJTU data\\2C_battery-3.csv', 'data/XJTU data\\2C_battery-5.csv', 'data/XJTU data\\2C_battery-6.csv', 'data/XJTU data\\2C_battery-7.csv']
data path:
['data/XJTU data\\2C_battery-4.csv', 'data/XJTU data\\2C_battery-8.csv']
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.375057
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:001, data loss:0.117147
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.103957
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:002, data loss:0.030874
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.050940
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:003, data loss:0.050054
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.047991
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:004, data loss:0.009099
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.020220
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:005, data loss:0.006558
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.022661
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:006, data loss:0.007683
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.014952
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:007, data loss:0.003018
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.009942
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:008, data loss:0.001922
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.008685
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:009, data loss:0.001061
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.005976
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:010, data loss:0.001277
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.005047
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:011, data loss:0.001195
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.003943
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:012, data loss:0.001432
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.003094
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:013, data loss:0.000708
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.002499
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:014, data loss:0.001040
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001975
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:015, data loss:0.000806
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001672
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:016, data loss:0.000789
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001581
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:017, data loss:0.000699
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001372
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:018, data loss:0.001017
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001386
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:019, data loss:0.001060
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001174
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:020, data loss:0.000971
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001003
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:021, data loss:0.000830
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.000922
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:022, data loss:0.001279
2026-07-13 12:58 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.000894
2026-07-13 12:58 - function:valid - INFO - [Valid] epoch:023, data loss:0.000892
