data path:
['data/XJTU data\\R2.5_battery-1.csv', 'data/XJTU data\\R2.5_battery-2.csv', 'data/XJTU data\\R2.5_battery-3.csv', 'data/XJTU data\\R2.5_battery-5.csv', 'data/XJTU data\\R2.5_battery-6.csv', 'data/XJTU data\\R2.5_battery-7.csv']
data path:
['data/XJTU data\\R2.5_battery-4.csv', 'data/XJTU data\\R2.5_battery-8.csv']
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.819792
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:001, data loss:0.295482
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.179889
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:002, data loss:0.069209
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.092010
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:003, data loss:0.058064
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.046347
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:004, data loss:0.006696
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.023360
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:005, data loss:0.015440
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.015338
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:006, data loss:0.003744
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.009755
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:007, data loss:0.009015
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.006455
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:008, data loss:0.002547
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.004436
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:009, data loss:0.004117
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.003421
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:010, data loss:0.002702
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002723
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:011, data loss:0.003357
