data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.383116
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:001, data loss:0.056177
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.066914
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:002, data loss:0.036542
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.046792
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:003, data loss:0.021686
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.027321
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:004, data loss:0.009714
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.023286
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:005, data loss:0.005493
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.013248
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:006, data loss:0.001801
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.012394
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:007, data loss:0.002178
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.009390
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:008, data loss:0.000666
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.006632
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:009, data loss:0.001023
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.005106
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:010, data loss:0.000896
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.004159
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:011, data loss:0.000235
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002942
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:012, data loss:0.001296
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002280
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:013, data loss:0.001016
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001752
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:014, data loss:0.000435
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001344
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:015, data loss:0.000644
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001043
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:016, data loss:0.000757
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.000964
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:017, data loss:0.000803
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.000847
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:018, data loss:0.001064
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.000765
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:019, data loss:0.000933
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.000824
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:020, data loss:0.000711
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.000701
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:021, data loss:0.000494
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.000604
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:022, data loss:0.000412
