data path:
['data/XJTU data\\RW_battery-1.csv', 'data/XJTU data\\RW_battery-2.csv', 'data/XJTU data\\RW_battery-3.csv', 'data/XJTU data\\RW_battery-5.csv', 'data/XJTU data\\RW_battery-6.csv', 'data/XJTU data\\RW_battery-7.csv']
data path:
['data/XJTU data\\RW_battery-4.csv', 'data/XJTU data\\RW_battery-8.csv']
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.525294
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:001, data loss:0.268076
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.225253
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:002, data loss:0.077207
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.089266
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:003, data loss:0.083834
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.118871
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:004, data loss:0.096155
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.091068
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:005, data loss:0.017710
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.029450
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:006, data loss:0.023217
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.050433
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:007, data loss:0.042758
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.049775
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:008, data loss:0.009052
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.023252
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:009, data loss:0.020616
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.034215
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:010, data loss:0.024596
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.025213
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:011, data loss:0.001979
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.013936
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:012, data loss:0.008936
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.022425
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:013, data loss:0.008945
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.015532
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:014, data loss:0.000954
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.010249
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:015, data loss:0.008830
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.013000
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:016, data loss:0.006724
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.008024
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:017, data loss:0.000281
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.005968
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:018, data loss:0.002374
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.008288
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:019, data loss:0.000574
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.004545
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:020, data loss:0.002630
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.004388
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:021, data loss:0.004865
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.003952
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:022, data loss:0.000796
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.002628
2026-07-13 12:59 - function:valid - INFO - [Valid] epoch:023, data loss:0.000248
2026-07-13 12:59 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.002995
